id|iaru_region_id|name|country_territory
76|1|SOYUZ RADIOLYUBITELEI ROSSII (SRR)|Russian Federation
77|1|RWANDA AMATEUR RADIO UNION (RARU)|Rwanda
78|1|SAVEZ RADIO-AMATERA SRBIJE (SRS)|Serbia
79|1|SIERRA LEONE AMATEUR RADIO SOCIETY (SLARS)|Sierra Leone
80|1|SLOVAK AMATEUR RADIO ASSOCIATION (SARA)|Slovakia
81|1|ZVEZA RADIOAMATERJEV SLOVENIJE (ZRS)|Slovenia
82|1|SOUTH AFRICAN RADIO LEAGUE (SARL)|South Africa
83|1|UNION DE RADIOAFICIONADOS ESPANOLES (URE)|Spain
84|1|ROYAL OMANI AMATEUR RADIO SOCIETY (ROARS)|Sultanate of Oman
85|1|RADIO SOCIETY OF SWAZILAND (RSS)|Swaziland
86|1|FORENINGEN SVERIGES SANDAREAMATORER (SSA)|Sweden
87|1|UNION SCHWEIZERISCHER KURZWELLEN-AMATEURE (USKA)|Switzerland
88|1|SYRIAN SCIENTIFIC TECHNICAL AMATEUR RADIO SOCIETY (SSTARS)|Syria
89|1|TAJIKSTAN AMATEUR RADIO LEAGUE (TARL)|Tajikstan 
90|1|TANZANIA AMATEUR RADIO CLUB (TARC)|Tanzania
91|1|ASSOCIATION DES RADIO AMATEURS TUNISIENS (ARAT)|Tunisia
92|1|TELSIZ RADYO AMATORLERI CEMIYETI (TRAC)|Turkey
93|1|LIGA RADIOLJUBITELY TURKMENISTANA (LRT)|Turkmenistan
94|1|UGANDA AMATEUR RADIO SOCIETY (UARS)|Uganda
95|1|UKRAINIAN AMATEUR RADIO LEAGUE (UARL)|Ukraine
96|1|EMIRATES AMATEUR RADIO SOCIETY (EARS)|United Arab Emirates
97|1|RADIO SOCIETY OF GREAT BRITAIN (RSGB)|United Kingdom
98|1|RADIO SOCIETY OF ZAMBIA (RSZ)|Zambia
99|1|ZIMBABWE AMATEUR RADIO SOCIETY (ZARS)|Zimbabwe 
100|2|Anguilla Amateur Radio Society [AARS]|ANGUILLA
101|2|Antigua and Barbuda Amateur Radio Society [ABARS]|ANTIGUA AND BARBUDA
102|2|Radio Club Argentino [RCA]|ARGENTINA
103|2|Aruba Amateur Radio Club [AARC]|ARUBA
104|2|Bahamas Amateur Radio Society [BARS]|BAHAMAS
105|2|Amateur Radio Society of Barbados [ARSB]|BARBADOS
106|2|Belize Amateur Radio Club [BARC]|BELIZE
107|2|Radio Society of Bermuda [RSB]|BERMUDA
108|2|Radio Club Boliviano [RCB]|BOLIVIA
109|2|Liga de Amadores Brasileiros de Radio Emissão [LABRE]|BRAZIL
110|2|British Virgin Islands Radio League [BVIRL]|BRITISH VIRGIN ISLANDS
111|2|Radio Amateurs of Canada [RAC]|CANADA
112|2|Cayman Amateur Radio Society [CARS]|CAYMAN ISLANDS
