id,sw_version
281,1.6.0-rc2
282,1.11_r1158
283,0.8_r767
284,0.9_r5162
285,4.0 **FT-4
286,0.9_r3621
287,3.9_r2860
288,2.10_r2209
289,4.0 r4171
290,2.0_r1636
291,2.0_r1682
292,1.0_r964
293,1.11_r1176
294,4.0Br3015
295,2.11_r2245
296,2.0_r1820
297,3.00_r2321
298,2.10_r2210
299,3.0.1_rp25
300,1.01_r1024
301,1.6.0
302,2.0_r1760
303,1.01_r1023
304,2.0_r1556
305,1.14_r1314
306,4.0 r2870
307,4.0 r4103
308,2.01_r1911
309,4.0 r3894
310,2.0_r1565
311,2.0_r1708
312,4.0 r5489
313,2.0_r1594
314,3.00_r2313
315,2.10_r2164
316,3.9_r2849
317,3.0.1_r246
318,4.0 r2873
319,4.0 r3901
320,2.0_r1790
324,17.3.1
329,18.1.98-RU
339,weakmon-0.
345,18.1.100-R
346,17.7.0
349,17.6.1
355,1.8.1-rc1
360,0.2r_wsprd
363,17.5.1
366,2.0.0-rc4
369,1.8.0-rc2
373,2.0.1-rc35
376,18.1.102-R
377,1.10.0-dev
389,17.5.0
392,2.0.0-rc2
399,17.0.1
402,4.0 r
403,17.1.0
410,17.6.0
411,1.7.0-rc1
417,2.0.1-deve
420,2.0.0-rc5-
423,17.5.2
425,1.8.0-rc1
440,1.9.0
441,1.9.0-rc2
442,17.2.2
449,2.0.0-rc3_
452,18.1.0
454,1.7.0
456,17.4.0
457,0.1_wsprd
463,4.0 r6434
464,18.1.94-RU
465,1.2 Kiwi
469,2.0.0-rc1
474,WD-2.0a
475,4.0 r6392
478,1.7.0-rc2
482,18.1.101
484,18.1.98
485,18.1.93-RU
491,WD-2.0c
492,RDPT-0.1
493,1.0 Kiwi
495,17.3.2
496,2.0.0-rc4_
501,1.9.0-rc1
504,0.9.6.1
505,0.9.0
508,1.8.0
510,1.8.1
525,2.0.0-rc5
529,1.1 Kiwi
535,2.0.1-rc45
536,1.3 Kiwi
539,18.1.96-RU
540,17.2.1
541,18.1.95-RU
547,1.9.0-deve
549,18.0.0
561,18.1.97-RU
567,1.8.0-rc3
572,18.1.103
578,1.9.2-deve
580,17.1.1
582,2.0.0-rc4-
592,18.1.99-RU
594,1.9.1
600,1.8.2-deve
610,18.1.103-R
611,18.1.97
619,1.10.0-rc1
621,1.9.0-rc4
631,17.2.0
639,1.9.0-rc3
648,1.8.0-rc4
649,Redpi-0.1
655,18.1.96
660,1.7.1-deve
661,17.8.0
663,WD-2.0b
672,18.1.101-R
675,18.1.94
685,18.1.95
686,1.7.0-rc3
701,2.0.0-rc3
706,2.0.1-rc38
708,18.1.100
710,18.1.99
713,18.1.102
714,4.0 r6470
716,17.9.0
721,18.1.93
723,2.0.0-rc6
732,17.8.1
733,17.3.0
738,1.8.2
