id|jcc_id|number|city|is_deleted|deleted_date
733|36|3605|Kan'onji|0|
734|36|3606|Sanuki|0|
735|36|3607|Higashikagawa|0|
736|36|3608|Mitoyo|0|
737|37|3701|Tokushima|0|
738|37|3702|Naruto|0|
739|37|3703|Komatsushima|0|
740|37|3704|Anan|0|
741|37|3705|Yoshinogawa|0|
742|37|3706|Awa|0|
743|37|3707|Mima|0|
744|37|3708|Miyoshi|0|
745|38|3801|Matsuyama|0|
746|38|3802|Imabari|0|
747|38|3803|Uwajima|0|
748|38|3804|Yawatahama|0|
749|38|3805|Niihama|0|
750|38|3806|Saijo|0|
751|38|3807|Ozu|0|
752|38|3808|Iyomishima|1|2004-03-31
753|38|3809|Kawanoe|1|2004-03-31
754|38|3810|Iyo|0|
755|38|3811|Hojo|1|2004-12-31
756|38|3812|Toyo|1|2004-10-31
757|38|3813|Shikokuchuo|0|
758|38|3814|Seiyo|0|
759|38|3815|Toon|0|
760|39|3901|Kochi|0|
761|39|3902|Muroto|0|
762|39|3903|Aki|0|
763|39|3904|Tosa|0|
764|39|3905|Susaki|0|
765|39|3906|Nakamura|1|2005-04-09
766|39|3907|Sukumo|0|
767|39|3908|Tosashimizu|0|
768|39|3909|Nankoku|0|
769|39|3910|Shimanto|0|
770|39|3911|Konan|0|
771|39|3912|Kami|0|
772|40|4001|Fukuoka|0|
773|40|4002|Kokura|1|1963-02-09
774|40|4003|Moji|1|1963-02-09
775|40|4004|Yahata|1|1963-02-09
776|40|4005|Tobata|1|1963-02-09
777|40|4006|Wakamatsu|1|1963-02-09
778|40|4007|Kurume|0|
779|40|4008|Omuta|0|
780|40|4009|Noogata|0|
781|40|4010|Iizuka|0|
782|40|4011|Tagawa|0|
783|40|4012|Yanagawa|0|
784|40|4013|Amagi|1|2006-03-19
785|40|4014|Yamada|1|2006-03-26
786|40|4015|Yame|0|
787|40|4016|Chikugo|0|
788|40|4017|Okawa|0|
789|40|4018|Yukuhashi|0|
790|40|4019|Buzen|0|
791|40|4020|Nakama|0|
792|40|4021|Kitakyushu|0|
793|40|4022|Ogoori|0|
794|40|4023|Kasuga|0|
795|40|4024|Chikushino|0|
796|40|4025|Onojo|0|
797|40|4026|Munakata|0|
798|40|4027|Dazaifu|0|
799|40|4028|Maebaru|1|2009-12-31
800|40|4029|Koga|0|
801|40|4030|Fukutsu|0|
802|40|4031|Ukiha|0|
803|40|4032|Miyawaka|0|
804|40|4033|Kama|0|
805|40|4034|Asakura|0|
806|40|4035|Miyama|0|
807|40|4036|Itoshima|0|
808|40|4037|Nakagawa|0|
809|41|4101|Saga|0|
810|41|4102|Karatsu|0|
811|41|4103|Tosu|0|
812|41|4104|Taku|0|
813|41|4105|Imari|0|
814|41|4106|Takeo|0|
815|41|4107|Kashima|0|
816|41|4108|Ogi|0|
817|41|4109|Ureshino|0|
818|41|4110|Kanzaki|0|
819|42|4201|Nagasaki|0|
820|42|4202|Sasebo|0|
821|42|4203|Shimabara|0|
822|42|4204|Isahaya|0|
823|42|4205|Omura|0|
824|42|4206|Fukue|1|2004-01-31
825|42|4207|Hirado|0|
826|42|4208|Matsuura|0|
827|42|4209|Tsushima|0|
828|42|4210|Iki|0|
829|42|4211|Goto|0|
830|42|4212|Saikai|0|
831|42|4213|Unzen|0|
832|42|4214|Minamishimabara|0|
833|43|4301|Kumamoto|0|
834|43|4302|Yatsushiro|0|
835|43|4303|Hitoyoshi|0|
836|43|4304|Arao|0|
