pas212_region_id|dxcc_code|region
1|212|Burgas
2|212|City of Sofia
3|212|Hashkovo
4|212|Plovdiv
5|212|Sofia
6|212|Lovec
7|212|Montanta
8|212|Ruse
9|212|Varna
