id|dxcc_id|code|subdivision
1|497|1|Zagrebačka županija
2|497|2|Krapinsko-Zagorska županija
3|497|3|Sisačko-Moslavačka županija
4|497|4|Karlovačka županija
5|497|5|Varaždinska županija
6|497|6|Koprivničko-Križevačka županija
7|497|7|Bjelovarsko-Bilogorska županija
8|497|8|Primorsko-Goranska županija
9|497|9|Ličko-Senjska županija
10|497|10|Virovitičko-Podravska županija
11|497|11|Požeško-Slavonska županija
12|497|12|Brodsko-Posavska županija
13|497|13|Zadarska županija
14|497|14|Osječko-Baranjska županija
15|497|15|Šibensko-Kninska županija
16|497|16|Vukovarsko-Srijemska županija
17|497|17|Splitsko-Dalmatinska županija
18|497|18|Istarska županija
19|497|19|Dubrovačko-Neretvanska županija
20|497|20|Međimurska županija
21|497|21|Grad Zagreb
