pas375_id|pas375_region_id|code|subdivision
1|1|AUR|Aurora
2|1|BTG|Batangas
3|1|CAV|Cavite
4|1|LAG|Laguna
5|1|MAD|Marinduque
6|1|MDC|Mindoro Occidental
7|1|MDR|Mindoro Oriental
8|1|PLW|Palawan
9|1|QUE|Quezon
10|1|RIZ|Rizal
11|1|ROM|Romblon
12|2|ILN|Ilocos Norte
13|2|ILS|Ilocos Sur
14|2|LUN|La Union
15|2|PAN|Pangasinan
16|3|BTN|Batanes
17|3|CAG|Cagayan
18|3|ISA|Isabela
19|3|NUV|Nueva Vizcaya
20|3|QUI|Quirino
21|4|ABR|Abra
22|4|APA|Apayao
23|4|BEN|Benguet
24|4|IFU|Ifugao
25|4|KAL|Kalinga-Apayso
26|4|MOU|Mountain Province
27|5|BAN|Batasn
28|5|BUL|Bulacan
29|5|NUE|Nueva Ecija
30|5|PAM|Pampanga
31|5|TAR|Tarlac
32|5|ZMB|Zambales
33|6|ALB|Albay
34|6|CAN|Camarines Norte
35|6|CAS|Camarines Sur
36|6|CAT|Catanduanes
37|6|MAS|Masbate
38|6|SOR|Sorsogon
39|7|BIL|Biliran
40|7|EAS|Eastern Samar
41|7|LEY|Leyte
42|7|NSA|Northern Samar
43|7|SLE|Southern Leyte
44|7|WSA|Western Samar
45|8|AKL|Aklan
46|8|ANT|Antique
47|8|CAP|Capiz
48|8|GUI|Guimaras
49|8|ILI|Iloilo
50|8|NEC|Negroe Occidental
51|9|BOH|Bohol
52|9|CEB|Cebu
53|9|NER|Negros Oriental
54|9|SIG|Siquijor
55|10|ZAN|Zamboanga del Norte
56|10|ZAS|Zamboanga del Sur
57|10|ZSI|Zamboanga Sibugay
58|11|NCO|North Cotabato
59|11|SUK|Sultan Kudarat
60|11|SAR|Sarangani
61|11|SCO|South Cotabato
62|12|BAS|Basilan
63|12|LAS|Lanao del Sur
64|12|MAG|Maguindanao
65|12|SLU|Sulu
66|12|TAW|Tawi-Tawi
67|13|LAN|Lanao del Norte
68|13|BUK|Bukidnon
69|13|CAM|Camiguin
70|13|MSC|Misamis Occidental
71|13|MSR|Misamis Oriental
72|14|COM|Compostela Valley
73|14|DAV|Davao del Norte
74|14|DAS|Davao del Sur
75|14|DAO|Davao Oriental
76|15|AGN|Agusan del Norte
77|15|AGS|Agusan del Sur
78|15|SUN|Surigao del Norte
79|15|SUR|Surigao del Sur
