id|dxcc_id|code|subdivision
1|284|AB|Stockholm län
2|284|I|Gotlands län
3|284|BD|Norrbottens län
4|284|AC|Västerbottens län
5|284|X|Gävleborgs län
6|284|Z|Jämtlands län
7|284|Y|Västernorrlands län
8|284|W|Dalarna län
9|284|S|Värmlands län
10|284|O|Västra Götalands län
11|284|T|Örebro län
12|284|E|Östergötlands län
13|284|D|Södermanlands län
14|284|C|Uppsala län
15|284|U|Västmanlands län
16|284|N|Hallands län
17|284|K|Blekinge län
18|284|F|Jönköpings län
19|284|H|Kalmar län
20|284|G|Kronobergs län
21|284|L|Skåne län
