id|dxcc_id|code|subdivision
1|137|B|Busan Gwang'yeogsi (Pusan Metropolitan City)
2|137|E|Choongchungbuk-do (North Chungcheong Province)
3|137|F|Chungcheongnam-do (South Chungcheong Province)
4|137|P|Daegu Gwang'yeogsi (Taegu Metropolitan City)
5|137|R|Daejeon Gwang'yeogsi (Daejeon Metropolitan City)
6|137|D|Gangwon-do
7|137|Q|Gwangju Gwang'yeogsi (Kwangju Metropolitan City)
8|137|C|Gyeonggi-do
9|137|K|Gyeongsangbug-do (North Gyeongsang Province)
10|137|L|Gyeongsangnam-do (South Gyeongsang Province)
11|137|N|Incheon Gwang'yeogsi (Inchon Metropolitan City)
12|137|M|Jeju-do
13|137|G|Jeollabuk-do (North Jeolla Province)
14|137|H|Jeollanam-do (South Jeolla Province)
15|137|A|Seoul Teugbyeolsi (Seoul Special City)
16|137|S|Ulsan Gwanq'yeogsi (Ulsan Metropolitan City)
