pas70_id|dxcc_code|code|subdivision
1|74|AH|Ahuachapan
2|74|CA|Cabanas
3|74|CH|Chalatenango
4|74|CU|Cuscatlan
5|74|LI|La Libertad
6|74|PA|La Paz
7|74|UN|La Union
8|74|MO|Morazan
9|74|SM|San Miguel
10|74|SS|San Salvador
11|74|SV|San Vicente
12|74|SA|Santa Ana
13|74|SO|Sonsonate
14|74|US|Usulutan
