pas284_id|dxcc_code|code|subdivision
1|284|AB|Stockholm lan
2|284|I|Gotlands lan
3|284|BD|Norrbottens lan
4|284|AC|Vasterbottens lan
5|284|X|Gavleborgs lan
6|284|Z|Jamtlands lan
7|284|Y|Vasternorrlands lan
8|284|W|Dalarna lan
9|284|S|Varmlands lan
10|284|O|Vastra Gotalands lan
11|284|T|Orebro lan
12|284|E|Ostergotlands lan
13|284|D|Sodermanlands lan
14|284|C|Uppsala lan
15|284|U|Vastmanlands lan
16|284|N|Hallands lan
17|284|K|Blekinge lan
18|284|F|Jonkopings lan
19|284|H|Kalmar lan
20|284|G|Kronobergs lan
21|284|L|Skane lan
