id|dxcc_id|code|subdivision
1|327|BA|Bali
2|327|BB|Bangka Belitung
3|327|BT|Banten
4|327|BE|Bengkulu
5|327|YO|DI Yogyakarta
6|327|JK|DKI Jakarta (Jakarta)
7|327|GO|Gorontalo
8|327|JA|Jambi
9|327|JB|Jawa Barat (West Java)
10|327|JT|Jawa Tengah (Central Java)
11|327|JI|Jawa Timur (East Java)
12|327|KB|Kalimantan Barat (West Borneo)
13|327|KS|Kalimantan Selatan (South Borneo)
14|327|KT|Kalimantan Tengah (Central Borneo)
15|327|KI|Kalimantan Timur (East Borneo)
16|327|KR|Kepulauan Riau
17|327|LA|Lampung
18|327|MA|Maluku (Moluccas)
19|327|MU|Maluku Utara (North Moluccas)
20|327|AC|Nanggroe Aceh Darussalam (Aceh)
21|327|NB|Nusa Tenggara Barat (West Lesser Sunda Isl)
22|327|NT|Nusa Tenggara Timur (East Lesser Suna Isl)
23|327|IJ|Papua (Irian Jaya)
24|327|RI|Riau
25|327|SR|Sulawesi Barat (West Celebes)
26|327|SN|Sulawesi Selatan (South Celebes)
27|327|ST|Sulawesi Tengah (Central Celebes)
28|327|SG|Sulawesi Tenggara (Southeast Celebes)
29|327|SA|Sulawesi Utara (North Celebes)
30|327|SB|Sumatera Barat (West Sumatra)
31|327|SS|Sumatera Selatan (South Sumatra)
32|327|SU|Sumatera Utara (North Sumatra)
