pas497_id|dxcc_code|code|subdivision
1|497|1|Zagrebacka zupanija
2|497|2|Krapinsko-Zagorska zupanija
3|497|3|Sisacko-Moslavacka Zupanija
4|497|4|Karlovacka Zupanija
5|497|5|Varazdinska Zupanija
6|497|6|Koprivnicko-Krizevacka Zupanija
7|497|7|Bjelovarsko-Bilogorska zupanija
8|497|8|Primorsko-Goranska zupanija
9|497|9|Licko-Senjska zupanija
10|497|10|Viroviticko-Podravska zupanija
11|497|11|Pozesko-Slavonska zupanija
12|497|12|Brodsko-Posavska zupanija
13|497|13|Zadarska zupanija
14|497|14|Osjecko-Baranjska zupanija
15|497|15|Sibensko-Kninska zupanija
16|497|16|Vukovarsko-Srijemska zupanija
17|497|17|Splitsko-Dalmatinska zupanija
18|497|18|Istarska zupanija
19|497|19|Dubrovacko-Neretvanska zupanija
20|497|20|Medimurskaz zupanija
21|497|21|Grad Zagreb
