pas387_id|dxcc_code|code|subdivision
1|387|37|Amnat Charoen
2|387|15|Ang Thong
3|387|31|Buri Ram
4|387|24|Chachoengsao
5|387|18|Chai Nat
6|387|36|Chaiyaphum
7|387|22|Chanthaburi
8|387|50|Chiang Mai
9|387|57|Chiang Rai
10|387|20|Chon Buri
11|387|86|Chumphon
12|387|46|Kalasin
13|387|62|Kamphasng Phet
14|387|71|Kanchanaburi
15|387|40|Khon Kaen
16|387|81|Krabi
17|387|10|Krung Thep Maha Nakhon Bangkok
18|387|52|Lampang
19|387|51|Lamphun
20|387|42|Loei
21|387|16|Lop Buri
22|387|58|Mae Hong Son
23|387|44|Maha Sarakham
24|387|49|Mukdahan
25|387|26|Nakhon Nayok
26|387|73|Nakhon Pathom
27|387|48|Nakhon Phanom
28|387|30|Nakhon Ratchasima
29|387|60|Nakhon Sawan
30|387|80|Nakhon Si Thammarat
31|387|55|Nan
32|387|96|Narathiwat
33|387|39|Nong Bua Lam Phu
34|387|43|Nong Khai
35|387|12|Nonthaburi
36|387|13|Pathum Thani
37|387|94|Pattani
38|387|83|Phaket
39|387|82|Phangnga
40|387|93|Phatthalung
41|387|S|Phatthaya
42|387|56|Phayao
43|387|67|Phetchabun
44|387|76|Phetchaburi
45|387|66|Phichit
46|387|65|Phitsanulok
47|387|14|Phra Nakhon Si Ayutthaya
48|387|54|Phrae
49|387|25|Prachin Buri
50|387|77|Prachuap Khiri Khan
51|387|85|Ranong
52|387|70|Ratchaburi
53|387|21|Rayong
54|387|45|Roi Et
55|387|27|Sa Kaeo
56|387|47|Sakon Nakhon
57|387|11|Samut Prakan
58|387|74|Samut Sakhon
59|387|75|Samut Songkhram
60|387|19|Saraburi
61|387|91|Satun
62|387|33|Si Sa Ket
63|387|17|Sing Buri
64|387|90|Songkhla
65|387|64|Sukhothai
66|387|72|Suphan Buri
67|387|84|Surat Thani
68|387|32|Surin
69|387|63|Tak
70|387|92|Trang
71|387|23|Trat
72|387|34|Ubon Ratchathani
73|387|41|Udon Thani
74|387|61|Uthai Thani
75|387|53|Uttaradit
76|387|95|Yala
77|387|35|Yasothon
