id|pas_206_region_id|code|subdivision
1|1|BU|Burgas
2|1|SL|Sliven
3|1|YA|Yambol (Jambol)
4|2|SO|Sofija Grad
5|3|HA|Haskovo
6|3|KA|Kardzali
7|3|SZ|Stara Zagora
8|4|PA|Pazardzik
9|4|PD|Plovdiv
10|4|SM|Smoljan
11|5|BL|Blagoevgrad
12|5|KD|Kjustendil
13|5|PK|Pernik
14|5|SF|Sofija (Sofia)
15|6|GA|Gabrovo
16|6|LV|Lovec (Lovech)
17|6|PL|Pleven
18|6|VT|Veliko Tarnovo
19|7|MN|Montana
20|7|VD|Vidin
21|7|VR|Vraca
22|8|RZ|Razgrad
23|8|RS|Ruse
24|8|SS|Silistra
25|8|TA|Targoviste
26|9|DO|Dobric
27|9|SN|Sumen
28|9|VN|Varna
