id|dxcc_id|code|subdivision
1|288|SU|Sums'ka Oblast'
2|288|TE|Ternopil's'ka Oblast'
3|288|CH|Cherkas'ka Oblast'
4|288|ZA|Zakarpats'ka Oblast'
5|288|DN|Dnipropetrovs'ka Oblast'
6|288|OD|Odes'ka Oblast'
7|288|HE|Khersons'ka Oblast'
8|288|PO|Poltavs'ka Oblast'
9|288|DO|Donets'ka Oblast'
10|288|RI|Rivnens'ka Oblast'
11|288|HA|Kharkivs'ka Oblast'
12|288|LU|Luhans'ka Oblast'
13|288|VI|Vinnyts'ka Oblast'
14|288|VO|Volyos'ka Oblast'
15|288|ZP|Zaporiz'ka Oblast'
16|288|CR|Chernihivs'ka Oblast'
17|288|IF|Ivano-Frankivs'ka Oblast'
18|288|HM|Khmel'nyts'ka Oblast'
19|288|KV|Kyïv
20|288|KO|Kyivs'ka Oblast'
21|288|KI|Kirovohrads'ka Oblast'
22|288|LV|L'vivs'ka Oblast'
23|288|ZH|Zhytomyrs'ka Oblast'
24|288|CN|Chernivets'ka Oblast'
25|288|NI|Mykolaivs'ka Oblast'
26|288|KR|Respublika Krym
