pas281_id|dxcc_code|code|subdivision
1|281|AV|Avila
2|281|BU|Burgos
3|281|C|A Coruña
4|281|LE|Leon
5|281|LO|La Rioja
6|281|LU|Lugo
7|281|O|Asturias
8|281|OU|Ourense
9|281|P|Palencia
10|281|PO|Pontevedra
11|281|S|Cantabria
12|281|SA|Salamanca
13|281|SG|Segovia
14|281|SO|Soria
15|281|VA|Valladolid
16|281|ZA|Zamora
17|281|BI|Vizcaya
18|281|HU|Huesca
19|281|NA|Navarra
20|281|SS|Guipuzcoa
21|281|TE|Teruel
22|281|VI|Alava
23|281|Z|Zaragoza
24|281|B|Barcelona
25|281|GI|Girona
26|281|L|Lleida
27|281|T|Tarragona
28|281|BA|Badajoz
29|281|CC|Caceres
30|281|CR|Ciudad Real
31|281|CU|Cuenca
32|281|GU|Guadalajara
33|281|M|Madrid
34|281|TO|Toledo
35|281|A|Alicante
36|281|AB|Albacete
37|281|CS|Castellon
38|281|MU|Murcia
39|281|V|Valencia
40|281|AL|Almeria
41|281|CA|Cadiz
42|281|CO|Cordoba
43|281|GR|Granada
44|281|H|Huelva
45|281|J|Jaen
46|281|MA|Malaga
47|281|SE|Sevilla
