pas230|dxcc_code|code|subdivision
1|230|BB|Brandenburg
2|230|BE|Berlin
3|230|BW|Baden-Württemberg
4|230|BY|Freistaat Bayern
5|230|HB|Freie Hansestadt Bremen
6|230|HE|Hessen
7|230|HH|Freie und Hansestadt Hamburg
8|230|MV|Mecklenburg-Vorpommern
9|230|NI|Niedersachsen
10|230|NW|Nordrhein-Westfalen
11|230|RP|Rheinland-Pfalz
12|230|SL|Saarland
13|230|SH|Schleswig-Holstein
14|230|SN|Freistaat Sachsen
15|230|ST|Sachsen-Anhalt
16|230|TH|Freistaat Thüringen
